@RELATION Train

@ATTRIBUTE LOCs numeric
@ATTRIBUTE Churn numeric
@ATTRIBUTE Age numeric
@ATTRIBUTE WeightedAge numeric
@ATTRIBUTE NumOfAuthors numeric
@ATTRIBUTE Revisions numeric
@ATTRIBUTE LOCsTouched numeric
@ATTRIBUTE LOCsAdded numeric
@ATTRIBUTE AvgSetSize numeric
@ATTRIBUTE NumOfFixes numeric
@ATTRIBUTE Buggy {false,true}

@DATA
121,121,0,0,2,4,121,121,2,0,false
215,215,0,0,2,5,215,215,2,1,false
942,942,0,0,3,14,942,942,2,4,true
78,78,0,0,3,3,78,78,2,0,false
170,170,0,0,2,4,170,170,2,2,false
441,441,0,0,3,9,441,441,2,4,false
185,185,0,0,3,5,185,185,2,1,false
515,515,0,0,3,7,515,515,2,3,false
130,130,0,0,3,5,130,130,2,0,false
152,152,0,0,3,3,152,152,2,0,false
124,124,0,0,1,1,124,124,2,0,false
123,123,0,0,3,5,123,123,2,0,false
241,241,0,0,3,4,241,241,2,0,false
493,493,0,0,3,9,493,493,2,1,true
688,688,0,0,2,6,688,688,2,2,true
174,174,0,0,2,4,174,174,2,0,false
42,42,0,0,2,2,42,42,2,0,false
148,148,0,0,3,5,148,148,2,0,false
55,55,0,0,3,3,55,55,2,0,false
139,139,0,0,3,8,139,139,2,3,false
71,71,0,0,3,4,71,71,2,1,false
71,71,0,0,2,3,71,71,2,0,false
667,667,0,0,3,12,667,667,2,3,true
208,208,0,0,3,7,208,208,2,1,false
151,151,0,0,3,9,151,151,2,3,false
166,166,0,0,3,6,166,166,2,1,false
53,53,0,0,3,4,53,53,2,1,false
140,140,0,0,3,4,140,140,2,0,false
144,144,0,0,3,4,144,144,2,0,true
91,91,0,0,2,6,91,91,2,2,false
68,68,0,0,1,1,68,68,2,0,false
69,69,0,0,2,2,69,69,2,0,false
71,71,0,0,2,2,71,71,2,0,false
93,93,0,0,1,2,93,93,2,1,false
195,195,0,0,2,4,195,195,2,3,false
341,341,0,0,2,4,341,341,2,3,false
232,232,0,0,1,2,232,232,2,2,false
174,174,0,0,1,1,174,174,2,1,false
477,477,0,0,1,1,477,477,2,1,false
174,174,0,0,1,1,174,174,2,1,false
130,130,0,0,1,1,130,130,2,1,false
89,89,0,0,1,1,89,89,2,1,false
157,157,0,0,3,7,157,157,2,2,false
136,136,0,0,3,4,136,136,2,0,false
354,354,0,0,3,11,354,354,2,3,false
114,114,0,0,3,3,114,114,2,1,false
468,468,0,0,3,8,468,468,2,2,false
507,507,0,0,3,9,507,507,2,3,false
121,121,0,0,1,1,121,121,2,0,false
164,164,0,0,2,3,164,164,2,0,false
137,137,0,0,2,3,137,137,2,0,false
83,83,0,0,3,6,83,83,2,1,false
207,207,0,0,3,6,207,207,2,1,false
47,47,0,0,3,3,47,47,2,1,false
30,30,0,0,2,2,30,30,2,0,false
83,83,0,0,2,2,83,83,2,0,false
32,32,0,0,2,3,32,32,2,0,false
59,59,0,0,3,3,59,59,2,1,false
83,83,0,0,1,1,83,83,2,1,true
