DATASET, #TRAINING_RELEASES, %TRAINING_INSTANCES, CLASSIFIER, FEATURE_SELECTION, BALANCING, COST_SENSITIVE, PRECISION, RECALL, AUC, KAPPA, TP, FP, TN, FN
bookkeeper,None,None,Random Forest,None,None,None,0.7028961268072859,0.87774442841595,0.7233758790060199,0.15027880075753383,189.33333333333334,87.0,39.166666666666664,23.833333333333332
bookkeeper,None,None,Naive Bayes,None,None,None,0.6967291852062218,0.87383706441787,0.694908609573945,0.1527118551420744,377.0,174.33333333333334,78.0,49.333333333333336
bookkeeper,None,None,IBk,None,None,None,0.6873065878501139,0.8652886496280955,0.629598144772921,0.11411559737643966,560.6666666666666,273.6666666666667,104.83333333333333,78.83333333333333
bookkeeper,None,None,Random Forest,Best First,None,None,0.6952954097951519,0.8719634290856102,0.6564716021519431,0.1492223661481103,751.8333333333334,360.8333333333333,143.83333333333334,100.83333333333333
bookkeeper,None,None,Naive Bayes,Best First,None,None,0.6948785880977195,0.8773214655038871,0.6442661711786316,0.14849730430347527,944.8333333333334,453.3333333333333,177.5,121.0
bookkeeper,None,None,IBk,Best First,None,None,0.6996630367401897,0.883979546241697,0.6523087400273793,0.17008175295697237,1141.0,544.0,213.0,138.0
bookkeeper,None,None,Random Forest,None,Undersampling,None,0.702043087823126,0.8544905680767084,0.6545456286184715,0.16514955775740564,1285.6666666666667,607.0,276.1666666666667,206.5
bookkeeper,None,None,Naive Bayes,None,Undersampling,None,0.7017658542334745,0.8573910345875532,0.6523755772984522,0.16709104458171894,1473.8333333333333,695.8333333333334,313.5,231.5
bookkeeper,None,None,IBk,None,Undersampling,None,0.700250167203043,0.8396715188583266,0.6388351902925112,0.15421898781276502,1624.6666666666667,775.3333333333334,360.1666666666667,293.8333333333333
bookkeeper,None,None,Random Forest,None,None,Sensitive learning,0.6973382505470728,0.8551712302569564,0.6446797852619001,0.14507831366401858,1836.8333333333333,895.1666666666666,366.5,294.8333333333333
bookkeeper,None,None,Naive Bayes,None,None,Sensitive learning,0.6951912785149074,0.8655698059503587,0.6413180423067053,0.14053660816655442,2043.6666666666667,1014.3333333333334,373.5,301.1666666666667
bookkeeper,None,None,IBk,None,None,Sensitive learning,0.6930807602449289,0.8641216404585411,0.631769935186482,0.13217215584359177,2227.3333333333335,1113.6666666666667,400.3333333333333,330.6666666666667
