DATASET, #TRAINING_RELEASES, %TRAINING_INSTANCES, CLASSIFIER, FEATURE_SELECTION, BALANCING, COST_SENSITIVE, PRECISION, RECALL, AUC, KAPPA, TP, FP, TN, FN
bookkeeper,1,44.44444444444444,Random Forest,None,None,None,0.8935185185185185,0.9796954314720813,0.7969543147208121,-0.03196664350243203,193.0,23.0,0.0,4.0
bookkeeper,2,56.011315417256014,Random Forest,None,None,None,0.8754208754208754,0.9774436090225563,0.7166666666666667,0.2174498215226172,260.0,37.0,8.0,6.0
bookkeeper,3,69.4499017681729,Random Forest,None,None,None,0.7205387205387206,0.9683257918552036,0.8271493212669683,0.06149409871244641,214.0,83.0,7.0,7.0
bookkeeper,4,76.48384673178062,Random Forest,None,None,None,0.8613445378151261,0.9360730593607306,0.9227144661420382,0.620821197515272,205.0,33.0,61.0,14.0
bookkeeper,5,75.11286681715576,Random Forest,None,None,None,0.40836012861736337,0.7094972067039106,0.49545822849588467,0.006453337406445738,127.0,184.0,78.0,52.0
bookkeeper,6,80.10849909584087,Random Forest,None,None,None,0.45819397993311034,0.6954314720812182,0.5813122767437489,0.027420992890853764,137.0,162.0,81.0,60.0
bookkeeper,1,44.44444444444444,Naive Bayes,None,None,None,0.9043062200956937,0.9593908629441624,0.7156808651511808,0.11671924290220764,378.0,40.0,6.0,16.0
bookkeeper,2,56.011315417256014,Naive Bayes,None,None,None,0.8844827586206897,0.9642857142857143,0.7485484544695071,0.2824103884953856,513.0,67.0,23.0,19.0
bookkeeper,3,69.4499017681729,Naive Bayes,None,None,None,0.7161716171617162,0.9819004524886877,0.7775389643036702,0.03609063985122961,434.0,172.0,8.0,8.0
bookkeeper,4,76.48384673178062,Naive Bayes,None,None,None,0.7777777777777778,0.958904109589041,0.7929843097250558,0.3793430468143806,420.0,120.0,68.0,18.0
bookkeeper,5,75.11286681715576,Naive Bayes,None,None,None,0.40435458786936235,0.7262569832402235,0.5369258817007122,-0.004137336861588635,260.0,383.0,141.0,98.0
bookkeeper,6,80.10849909584087,Naive Bayes,None,None,None,0.4932821497120921,0.6522842639593909,0.597773182093543,0.10584514965083162,257.0,264.0,222.0,137.0
bookkeeper,1,44.44444444444444,IBk,None,None,None,0.9046822742474916,0.9153976311336718,0.6525294882169744,0.09349969192852722,541.0,57.0,12.0,50.0
bookkeeper,2,56.011315417256014,IBk,None,None,None,0.8758465011286681,0.9724310776942355,0.6951359881184442,0.2161460322309631,776.0,110.0,25.0,22.0
bookkeeper,3,69.4499017681729,IBk,None,None,None,0.7197309417040358,0.9683257918552036,0.7111893190324563,0.05663693041268863,642.0,250.0,20.0,21.0
bookkeeper,4,76.48384673178062,IBk,None,None,None,0.7554479418886199,0.9497716894977168,0.6924743892829,0.2816263148128256,624.0,202.0,80.0,33.0
bookkeeper,5,75.11286681715576,IBk,None,None,None,0.40384615384615385,0.7039106145251397,0.5086440549466691,-0.005379882672771496,378.0,558.0,228.0,159.0
bookkeeper,6,80.10849909584087,IBk,None,None,None,0.4642857142857143,0.6818950930626058,0.5176156290400823,0.04216449754640481,403.0,465.0,264.0,188.0
bookkeeper,1,44.44444444444444,Random Forest,Best First,None,None,0.9088607594936708,0.9111675126903553,0.7073493709997793,0.12980501392757632,718.0,72.0,20.0,70.0
bookkeeper,2,56.011315417256014,Random Forest,Best First,None,None,0.8765008576329331,0.9605263157894737,0.6743656015037593,0.2099483733508155,1022.0,144.0,36.0,42.0
bookkeeper,3,69.4499017681729,Random Forest,Best First,None,None,0.7299829642248722,0.9694570135746606,0.7494878079436903,0.11678362090316191,857.0,317.0,43.0,27.0
bookkeeper,4,76.48384673178062,Random Forest,Best First,None,None,0.781663516068053,0.9440639269406392,0.7549806300398328,0.38254730938860626,827.0,231.0,145.0,49.0
bookkeeper,5,75.11286681715576,Random Forest,Best First,None,None,0.4141732283464567,0.7346368715083799,0.5172868512516525,0.022015072441745078,526.0,744.0,304.0,190.0
bookkeeper,6,80.10849909584087,Random Forest,Best First,None,None,0.4605911330049261,0.7119289340101523,0.535359351172944,0.03423480687675668,561.0,657.0,315.0,227.0
bookkeeper,1,44.44444444444444,Naive Bayes,Best First,None,None,0.9120323559150657,0.915736040609137,0.6914411829618186,0.16169812166584463,902.0,87.0,28.0,83.0
