@RELATION Train

@ATTRIBUTE LOCs numeric
@ATTRIBUTE Churn numeric
@ATTRIBUTE Age numeric
@ATTRIBUTE WeightedAge numeric
@ATTRIBUTE NumOfAuthors numeric
@ATTRIBUTE Revisions numeric
@ATTRIBUTE LOCsTouched numeric
@ATTRIBUTE LOCsAdded numeric
@ATTRIBUTE AvgSetSize numeric
@ATTRIBUTE NumOfFixes numeric
@ATTRIBUTE Buggy {false,true}

@DATA
84,84,0,0,1,1,84,84,2,0,false
219,219,0,0,1,1,219,219,2,0,false
90,90,0,0,1,1,90,90,2,0,false
150,150,0,0,1,1,150,150,2,0,false
29,29,0,0,1,1,29,29,2,0,false
25,25,0,0,1,1,25,25,2,0,false
39,39,0,0,1,1,39,39,2,0,false
29,29,0,0,2,2,29,29,2,1,false
29,29,0,0,2,2,29,29,2,2,false
63,63,0,0,2,3,63,63,2,1,false
203,203,0,0,2,2,203,203,2,0,false
68,68,0,0,1,1,68,68,2,0,false
67,67,0,0,1,1,67,67,2,0,false
38,38,0,0,1,1,38,38,2,0,false
108,108,0,0,1,1,108,108,2,0,false
76,76,0,0,1,1,76,76,2,0,false
38,38,0,0,1,1,38,38,2,0,false
29,29,0,0,1,1,29,29,2,0,false
79,79,0,0,1,1,79,79,2,0,false
88,88,0,0,1,1,88,88,2,0,false
67,67,0,0,1,1,67,67,2,0,false
46,46,0,0,1,1,46,46,2,0,false
159,159,0,0,1,1,159,159,2,0,false
35,35,0,0,1,1,35,35,2,0,false
30,30,0,0,1,1,30,30,2,0,false
110,110,0,0,1,1,110,110,2,0,false
67,67,0,0,1,1,67,67,2,0,false
40,40,0,0,1,1,40,40,2,0,false
95,95,0,0,1,1,95,95,2,0,false
37,37,0,0,1,1,37,37,2,0,false
70,70,0,0,1,1,70,70,2,0,false
118,118,0,0,1,1,118,118,2,0,false
60,60,0,0,1,1,60,60,2,0,false
36,36,0,0,1,1,36,36,2,0,false
38,38,0,0,1,1,38,38,2,0,false
53,53,0,0,1,1,53,53,2,0,false
114,114,0,0,1,1,114,114,2,0,false
80,80,0,0,1,1,80,80,2,0,true
40,40,0,0,1,1,40,40,2,0,false
42,42,0,0,1,1,42,42,2,0,false
110,110,0,0,1,1,110,110,2,0,false
73,73,0,0,1,1,73,73,2,0,false
33,33,0,0,1,1,33,33,2,0,false
130,130,0,0,2,2,130,130,2,0,false
177,177,0,0,1,1,177,177,2,0,false
136,136,0,0,1,1,136,136,2,0,false
59,59,0,0,1,1,59,59,2,0,false
92,92,0,0,1,1,92,92,2,0,false
100,100,0,0,2,2,100,100,2,0,false
40,40,0,0,1,1,40,40,2,0,false
78,78,0,0,1,1,78,78,2,0,false
29,29,0,0,1,1,29,29,2,0,false
79,79,0,0,2,2,79,79,2,0,false
66,66,0,0,1,1,66,66,2,0,false
162,162,0,0,1,1,162,162,2,0,false
29,29,0,0,1,1,29,29,2,0,false
37,37,0,0,1,1,37,37,2,0,false
100,100,0,0,1,1,100,100,2,0,false
118,118,0,0,1,1,118,118,2,0,false
323,323,0,0,2,2,323,323,2,1,false
53,53,0,0,1,1,53,53,2,0,false
79,79,0,0,1,1,79,79,2,0,false
77,77,0,0,1,1,77,77,2,0,false
60,60,0,0,1,1,60,60,2,0,false
25,25,0,0,1,1,25,25,2,0,false
142,142,0,0,1,1,142,142,2,0,false
24,24,0,0,1,1,24,24,2,0,false
191,191,0,0,1,1,191,191,2,0,false
79,79,0,0,1,2,79,79,2,0,false
32,32,0,0,1,1,32,32,2,0,false
29,29,0,0,1,1,29,29,2,0,false
82,82,0,0,2,2,82,82,2,0,false
53,53,0,0,1,1,53,53,2,0,false
