DATASET, #TRAINING_RELEASES, %TRAINING_INSTANCES, CLASSIFIER, FEATURE_SELECTION, BALANCING, COST_SENSITIVE, PRECISION, RECALL, AUC, KAPPA, TP, FP, TN, FN
syncope,None,None,Random Forest,None,None,None,0.9207224258295065,0.9689147197721422,0.824495541222661,0.32054506012733125,572.7916666666666,47.625,23.5,20.958333333333332
syncope,None,None,Naive Bayes,None,None,None,0.915334504206279,0.954144346046356,0.7708118429386591,0.2728655278406694,1124.2083333333333,102.29166666666667,39.958333333333336,63.291666666666664
syncope,None,None,IBk,None,None,None,0.9162627081646509,0.9590602905260751,0.7414728062600052,0.2785984455125004,1696.5833333333333,151.16666666666666,62.208333333333336,84.66666666666667
syncope,None,None,Random Forest,Best First,None,None,0.9183217236766499,0.9569485737299397,0.7458459336581139,0.2862926183940856,2256.5833333333335,195.54166666666666,88.95833333333333,118.41666666666667
syncope,None,None,Naive Bayes,Best First,None,None,0.9172974411144467,0.9566840415722085,0.7326492644667194,0.2797000504155926,2820.3333333333335,247.79166666666666,107.83333333333333,148.41666666666666
syncope,None,None,IBk,Best First,None,None,0.9180070480683128,0.9574864925945864,0.7260778275200512,0.2823065538189892,3387.625,294.375,132.375,174.875
syncope,None,None,Random Forest,None,Undersampling,None,0.9218422847718021,0.9253215790086559,0.7196325144539584,0.26619574547038927,3824.3333333333335,313.75,184.125,331.9166666666667
syncope,None,None,Naive Bayes,None,Undersampling,None,0.9219734650431423,0.923841307535289,0.7134517244601559,0.26962036896961117,4361.375,358.375,210.625,388.625
syncope,None,None,IBk,None,Undersampling,None,0.9240875083095969,0.9053946066109386,0.7071050744944132,0.25885527445277123,4809.833333333333,382.875,257.25,533.9166666666666
syncope,None,None,Random Forest,None,None,Sensitive learning,0.9204720843839254,0.9144770700427572,0.7133405393938844,0.24571412780058863,5400.833333333333,451.25,260.0,536.6666666666666
syncope,None,None,Naive Bayes,None,None,Sensitive learning,0.9189570606264321,0.9179878146295671,0.7069573869872953,0.24131844423837334,5961.583333333333,510.0,272.375,569.6666666666666
syncope,None,None,IBk,None,None,Sensitive learning,0.9188401758154283,0.9222918001309136,0.7045140781507083,0.24441601515360742,6534.416666666667,559.25,294.25,590.5833333333334
