DATASET, #TRAINING_RELEASES, %TRAINING_INSTANCES, CLASSIFIER, FEATURE_SELECTION, BALANCING, COST_SENSITIVE, PRECISION, RECALL, AUC, KAPPA, TP, FP, TN, FN
syncope,1,50.0,Random Forest,None,None,None,0.9754098360655737,1.0,0.8295693277310925,0.0,476.0,12.0,0.0,0.0
syncope,2,66.62116040955631,Random Forest,None,None,None,0.9658848614072495,0.9700214132762313,0.7608526377262994,0.25373893580221835,453.0,16.0,6.0,14.0
syncope,3,74.97441146366428,Random Forest,None,None,None,0.9320987654320988,1.0,0.9052305616875154,0.14415274463007033,453.0,33.0,3.0,0.0
syncope,4,79.98362668849775,Random Forest,None,None,None,0.9678111587982833,0.9955849889624724,0.9927029678685307,0.6943188086045234,451.0,15.0,21.0,2.0
syncope,5,83.26516700749829,Random Forest,None,None,None,0.8172268907563025,0.9948849104859335,0.694693094629156,0.18266155428785188,389.0,87.0,13.0,2.0
syncope,6,85.4895104895105,Random Forest,None,None,None,0.8807339449541285,0.9770992366412213,0.9394765539803708,0.5669318279018049,384.0,52.0,53.0,9.0
syncope,7,87.32824427480917,Random Forest,None,None,None,0.8571428571428571,0.9742268041237113,0.8999882849109653,0.4852603856936538,378.0,63.0,47.0,10.0
syncope,8,83.26271186440678,Random Forest,None,None,None,0.9860869565217392,0.73828125,0.6617246685606061,0.07121561568318623,567.0,8.0,14.0,201.0
syncope,9,87.99403430275913,Random Forest,None,None,None,0.9726688102893891,0.9758064516129032,0.8740927419354839,0.2786334360123213,605.0,17.0,7.0,15.0
syncope,10,89.25124792013311,Random Forest,None,None,None,0.9559748427672956,0.9950900163666121,0.8271218143558569,0.2941135001762425,608.0,28.0,7.0,3.0
syncope,11,90.25379186063974,Random Forest,None,None,None,0.9388714733542319,0.9900826446280991,0.8037002253944403,0.15901171998732985,599.0,39.0,5.0,6.0
syncope,12,91.06947483588621,Random Forest,None,None,None,0.9008,0.9774305555555556,0.7120648448773449,0.2377787807573185,563.0,62.0,15.0,13.0
syncope,13,91.77858667001381,Random Forest,None,None,None,0.8949096880131363,0.983754512635379,0.8717875397648068,0.45035807478762635,545.0,64.0,37.0,9.0
syncope,14,92.26404169079328,Random Forest,None,None,None,0.8480801335559266,0.9806949806949807,0.7688803088803089,0.4628001783553091,508.0,91.0,59.0,10.0
syncope,15,92.81952058475761,Random Forest,None,None,None,0.8356164383561644,0.9644268774703557,0.7710986678377982,0.44460003500787687,488.0,96.0,66.0,18.0
syncope,16,93.93174474959612,Random Forest,None,None,None,0.8610603290676416,0.9792099792099792,0.8579002079002079,0.4358285851507413,471.0,76.0,44.0,10.0
syncope,17,92.5693990092532,Random Forest,None,None,None,0.9828326180257511,0.8841698841698842,0.6245888745888746,0.06979145157959929,687.0,12.0,6.0,90.0
syncope,18,92.94587785596386,Random Forest,None,None,None,0.9448621553884712,0.9856209150326798,0.7944235850368516,0.07375145180023161,754.0,44.0,3.0,11.0
syncope,19,93.36523643442291,Random Forest,None,None,None,0.9416149068322981,0.9973684210526316,0.8682735934664246,0.29146190560367735,758.0,47.0,11.0,2.0
syncope,20,93.7637843181991,Random Forest,None,None,None,0.9245982694684796,1.0,0.8326184640522876,0.24754798724351723,748.0,61.0,11.0,0.0
syncope,21,94.12985897344119,Random Forest,None,None,None,0.937984496124031,0.9850746268656716,0.9079874450311423,0.507050864036518,726.0,48.0,35.0,11.0
syncope,22,94.44895199459094,Random Forest,None,None,None,0.9039242219215156,0.9213793103448276,0.7231465517241379,0.19407334693314093,668.0,71.0,25.0,57.0
syncope,23,94.70448869821348,Random Forest,None,None,None,0.9232769830949284,0.977961432506887,0.8766603933120585,0.4821626856575138,710.0,59.0,42.0,16.0
syncope,24,94.96503496503496,Random Forest,None,None,None,0.9385964912280702,0.9960106382978723,0.8383433650615901,0.48254975483126683,749.0,49.0,27.0,3.0
syncope,1,50.0,Naive Bayes,None,None,None,0.977366255144033,0.9978991596638656,0.7605917366946778,0.13679245283018696,950.0,22.0,2.0,2.0
syncope,2,66.62116040955631,Naive Bayes,None,None,None,0.9670563230605739,0.974304068522484,0.774272435273506,0.291882783497011,910.0,31.0,13.0,24.0
